,route_no,latitude,longitude,elevation,time
201,1,51.25553,6.71473,32.0,25.0
202,1,51.25577,6.71414,34.0,25.283333333333335
203,1,51.25615,6.71317,30.0,25.766666666666666
204,1,51.25638,6.71261,33.0,26.05
205,1,51.25686,6.71148,30.0,26.616666666666667
206,1,51.25688,6.71142,30.0,26.633333333333333
207,1,51.25735,6.7104,31.0,27.166666666666668
208,1,51.25775,6.70966,31.0,27.583333333333332
209,1,51.25777,6.70963,31.0,27.6
210,1,51.258,6.70925,34.0,27.816666666666666
211,1,51.25839,6.70865,34.0,28.183333333333334
212,1,51.25868,6.70823,33.0,28.433333333333334
213,1,51.25869,6.70821,33.0,28.45
214,1,51.25901,6.7078,33.0,28.716666666666665
215,1,51.25965,6.707,33.0,29.266666666666666
216,1,51.25974,6.70689,34.0,29.35
217,1,51.26034,6.70617,33.0,29.85
218,1,51.26113,6.70527,33.0,30.483333333333334
219,1,51.26113,6.70528,33.0,30.5
220,1,51.26135,6.70503,33.0,30.666666666666668
221,1,51.26138,6.705,33.0,30.7
222,1,51.26229,6.70392,33.0,31.45
223,1,51.26365,6.70232,32.0,32.583333333333336
224,1,51.26403,6.70187,33.0,32.9
225,1,51.26409,6.70181,33.0,32.95
226,1,51.26507,6.70069,32.0,33.75
227,1,51.26538,6.70034,32.0,34.0
228,1,51.26588,6.69985,31.0,34.4
229,1,51.26612,6.69968,31.0,34.56666666666667
230,1,51.26668,6.6994,31.0,34.96666666666667
231,1,51.26687,6.6993,31.0,35.1
232,1,51.26727,6.69917,33.0,35.36666666666667
233,1,51.26789,6.69904,33.0,35.78333333333333
234,1,51.26808,6.699,32.0,35.916666666666664
235,1,51.26881,6.69888,34.0,36.4
236,1,51.26923,6.69881,34.0,36.68333333333333
237,1,51.26945,6.69878,34.0,36.833333333333336
238,1,51.2698,6.6987,35.0,37.06666666666667
239,1,51.26993,6.69865,35.0,37.15
240,1,51.26993,6.69866,35.0,37.15
241,1,51.26999,6.69864,35.0,37.2
242,1,51.27049,6.69851,35.0,37.53333333333333
243,1,51.27058,6.69849,35.0,37.6
244,1,51.27069,6.69846,35.0,37.666666666666664
245,1,51.27072,6.69835,35.0,37.71666666666667
246,1,51.27078,6.69811,36.0,37.833333333333336
247,1,51.2709,6.69731,36.0,38.166666666666664
248,1,51.27093,6.69724,36.0,38.2
249,1,51.27094,6.69722,36.0,38.21666666666667
250,1,51.27103,6.69718,35.0,38.28333333333333
251,1,51.27109,6.69716,35.0,38.31666666666667
252,1,51.27269,6.69654,34.0,39.416666666666664
253,1,51.27295,6.69642,33.0,39.6
254,1,51.27295,6.69643,33.0,39.6
255,1,51.27315,6.69633,32.0,39.75
256,1,51.27338,6.69637,32.0,39.9
257,1,51.27356,6.69644,33.0,40.016666666666666
258,1,51.27405,6.69671,33.0,40.36666666666667
259,1,51.27423,6.69682,33.0,40.5
260,1,51.27432,6.69687,33.0,40.56666666666667
261,1,51.27431,6.69687,33.0,40.56666666666667
262,1,51.27566,6.69766,32.0,41.53333333333333
263,1,51.27637,6.69815,32.0,42.05
264,1,51.2769,6.69858,32.0,42.43333333333333
265,1,51.2772,6.69885,32.0,42.666666666666664
266,1,51.2772,6.69884,32.0,42.666666666666664
267,1,51.27764,6.69922,31.0,43.0
268,1,51.27882,6.7003,36.0,43.916666666666664
269,1,51.27897,6.70038,37.0,44.016666666666666
270,1,51.27897,6.70037,37.0,44.016666666666666
271,1,51.27915,6.70047,37.0,44.15
272,1,51.27916,6.70043,37.0,44.166666666666664
273,1,51.27922,6.70028,36.0,44.25
274,1,51.27927,6.70011,36.0,44.31666666666667
275,1,51.27932,6.70005,36.0,44.36666666666667
276,1,51.27937,6.70003,36.0,44.4
277,1,51.27943,6.70004,36.0,44.43333333333333
278,1,51.27947,6.70008,35.0,44.46666666666667
279,1,51.2795,6.70017,35.0,44.516666666666666
280,1,51.2795,6.70026,35.0,44.55
281,1,51.27949,6.70036,35.0,44.583333333333336
282,1,51.27945,6.7004,35.0,44.61666666666667
283,1,51.27941,6.70043,35.0,44.65
284,1,51.27936,6.70044,36.0,44.68333333333333
285,1,51.27929,6.70038,36.0,44.733333333333334
286,1,51.27926,6.70031,36.0,44.766666666666666
287,1,51.27925,6.70023,36.0,44.8
288,1,51.27926,6.70013,36.0,44.85
289,1,51.27931,6.70006,36.0,44.9
290,1,51.27935,6.70003,36.0,44.916666666666664
291,1,51.2794,6.70003,36.0,44.95
292,1,51.27945,6.70006,35.0,45.0
293,1,51.27948,6.70012,35.0,45.03333333333333
294,1,51.2795,6.70021,35.0,45.06666666666667
295,1,51.2795,6.7003,35.0,45.1
296,1,51.27943,6.7006,34.0,45.233333333333334
297,1,51.27941,6.70066,34.0,45.266666666666666
298,1,51.27903,6.70174,31.0,45.78333333333333
299,1,51.27847,6.70337,26.0,46.55
300,1,51.27775,6.70545,26.0,47.55
301,1,51.27715,6.70719,26.0,48.38333333333333
302,1,51.27704,6.70751,26.0,48.53333333333333
303,1,51.27615,6.7101,36.0,49.766666666666666
304,1,51.27536,6.71238,36.0,50.85
305,1,51.275,6.71344,34.0,51.35
306,1,51.27498,6.7135,34.0,51.38333333333333
307,1,51.27457,6.71449,32.0,51.88333333333333
308,1,51.27456,6.71449,32.0,51.88333333333333
309,1,51.27451,6.71443,32.0,51.93333333333333
310,1,51.27455,6.71425,32.0,52.016666666666666
311,1,51.27479,6.71339,34.0,52.4
312,1,51.2748,6.71339,34.0,52.4
313,1,51.27481,6.71333,34.0,52.43333333333333
314,1,51.27485,6.71326,34.0,52.46666666666667
315,1,51.27495,6.71324,34.0,52.53333333333333
316,1,51.27497,6.71324,34.0,52.55
317,1,51.27502,6.71313,34.0,52.61666666666667
318,1,51.27494,6.71309,34.0,52.666666666666664
319,1,51.27493,6.71309,34.0,52.666666666666664
320,1,51.2748,6.71301,34.0,52.766666666666666
321,1,51.27461,6.71284,34.0,52.916666666666664
322,1,51.27453,6.7127,33.0,52.983333333333334
323,1,51.27412,6.71247,32.0,53.28333333333333
324,1,51.27411,6.71247,32.0,53.28333333333333
325,1,51.27293,6.7118,35.0,54.11666666666667
326,1,51.27188,6.71132,32.0,54.85
327,1,51.27188,6.71131,32.0,54.85
328,1,51.27169,6.71122,32.0,54.983333333333334
329,1,51.271,6.71105,34.0,55.45
330,1,51.26937,6.71083,32.0,56.55
331,1,51.26886,6.71084,33.0,56.88333333333333
332,1,51.26855,6.71084,34.0,57.1
333,1,51.26791,6.71099,34.0,57.516666666666666
334,1,51.26727,6.7112,35.0,57.96666666666667
335,1,51.26679,6.71145,37.0,58.3
336,1,51.26628,6.71176,36.0,58.666666666666664
337,1,51.26549,6.71236,36.0,59.25
338,1,51.26515,6.7127,35.0,59.516666666666666
339,1,51.26467,6.71325,36.0,59.9
340,1,51.26417,6.71394,36.0,60.35
341,1,51.26351,6.71503,36.0,60.983333333333334
342,1,51.26321,6.71571,35.0,61.333333333333336
343,1,51.26287,6.71648,34.0,61.71666666666667
344,1,51.26282,6.71657,34.0,61.766666666666666
345,1,51.26249,6.71744,36.0,62.2
346,1,51.26221,6.71815,34.0,62.55
347,1,51.26196,6.71895,35.0,62.916666666666664
348,1,51.26098,6.72212,38.0,64.4
349,1,51.26097,6.72214,38.0,64.4
350,1,51.26036,6.72408,40.0,65.31666666666666
351,1,51.26031,6.72425,40.0,65.38333333333334
352,1,51.25979,6.72592,36.0,66.16666666666667
353,1,51.25978,6.72596,36.0,66.18333333333334
354,1,51.25977,6.72605,36.0,66.23333333333333
355,1,51.25974,6.72607,36.0,66.25
356,1,51.25968,6.72611,36.0,66.28333333333333
357,1,51.25961,6.72619,36.0,66.35
358,1,51.25952,6.72634,36.0,66.43333333333334
359,1,51.25949,6.72645,37.0,66.48333333333333
360,1,51.25942,6.72671,38.0,66.6
361,1,51.25896,6.72853,40.0,67.41666666666667
362,1,51.25865,6.72975,39.0,67.96666666666667
363,1,51.25856,6.7301,39.0,68.13333333333334
364,1,51.25848,6.73042,40.0,68.26666666666667
365,1,51.25845,6.73056,40.0,68.33333333333333
366,1,51.2582,6.73146,40.0,68.75
367,1,51.25814,6.73175,41.0,68.86666666666666
368,1,51.2581,6.73191,41.0,68.95
369,1,51.25792,6.73255,38.0,69.23333333333333
370,1,51.25777,6.73312,36.0,69.5
371,1,51.25765,6.73359,36.0,69.71666666666667
372,1,51.25762,6.73369,36.0,69.75
373,1,51.25754,6.73403,37.0,69.9
374,1,51.25729,6.73492,36.0,70.31666666666666
375,1,51.25722,6.73516,35.0,70.43333333333334
376,1,51.2568,6.73654,38.0,71.06666666666666
377,1,51.25657,6.73733,38.0,71.43333333333334
378,1,51.25647,6.73766,37.0,71.58333333333333
379,1,51.25631,6.7382,38.0,71.83333333333333
380,1,51.25603,6.73918,39.0,72.28333333333333
381,1,51.2559,6.7396,39.0,72.48333333333333
382,1,51.25584,6.73983,39.0,72.58333333333333
383,1,51.25552,6.74091,42.0,73.08333333333333
384,1,51.25533,6.74157,41.0,73.38333333333334
385,1,51.25521,6.74203,40.0,73.6
386,1,51.2552,6.74205,40.0,73.6
387,1,51.25517,6.74214,40.0,73.65
388,1,51.25517,6.74216,40.0,73.65
389,1,51.25512,6.74229,40.0,73.71666666666667
390,1,51.25505,6.74254,40.0,73.83333333333333
391,1,51.25498,6.74276,39.0,73.93333333333334
392,1,51.25488,6.74311,39.0,74.1
393,1,51.25483,6.74322,38.0,74.15
394,1,51.25474,6.74332,38.0,74.23333333333333
395,1,51.25472,6.74334,37.0,74.23333333333333
396,1,51.25467,6.74339,37.0,74.28333333333333
397,1,51.25467,6.7434,37.0,74.28333333333333
398,1,51.25453,6.74355,36.0,74.4
399,1,51.25451,6.74359,36.0,74.41666666666667
400,1,51.25441,6.74396,36.0,74.58333333333333
401,1,51.25423,6.74459,37.0,74.88333333333334
402,1,51.25393,6.74569,34.0,75.38333333333334
403,1,51.25389,6.74581,34.0,75.43333333333334
404,1,51.25385,6.74599,33.0,75.51666666666667
405,1,51.25384,6.746,33.0,75.51666666666667
406,1,51.25348,6.74732,35.0,76.11666666666666
407,1,51.25347,6.74735,35.0,76.13333333333334
408,1,51.25311,6.74867,38.0,76.73333333333333
409,1,51.25295,6.74927,35.0,77.01666666666667
410,1,51.25278,6.7499,34.0,77.3
411,1,51.25249,6.751,39.0,77.8
412,1,51.25233,6.75156,40.0,78.05
413,1,51.25233,6.75157,40.0,78.05
414,1,51.25215,6.75231,38.0,78.38333333333334
415,1,51.25176,6.75385,37.0,79.08333333333333
416,1,51.25172,6.75399,38.0,79.15
417,1,51.25148,6.75484,36.0,79.53333333333333
418,1,51.2513,6.75548,36.0,79.83333333333333
419,1,51.25115,6.756,35.0,80.06666666666666
420,1,51.25098,6.75659,33.0,80.33333333333333
421,1,51.25069,6.7576,32.0,80.8
422,1,51.25067,6.75766,32.0,80.83333333333333
423,1,51.25063,6.75777,32.0,80.88333333333334
424,1,51.25047,6.7581,33.0,81.06666666666666
425,1,51.25015,6.75878,34.0,81.41666666666667
426,1,51.24994,6.75922,34.0,81.65
427,1,51.24993,6.75923,34.0,81.65
428,1,51.24974,6.75964,34.0,81.86666666666666
429,1,51.24941,6.76033,35.0,82.23333333333333
430,1,51.24905,6.76106,38.0,82.61666666666666
431,1,51.24892,6.76134,37.0,82.76666666666667
432,1,51.24877,6.76164,37.0,82.91666666666667
433,1,51.24875,6.76168,38.0,82.95
434,1,51.24872,6.76174,38.0,82.98333333333333
435,1,51.24867,6.76182,38.0,83.01666666666667
436,2,51.2188447,6.76688048,39.0,0.0
437,2,51.21884,6.76687,39.0,0.0
438,2,51.21888,6.76688,39.0,0.016666666666666666
439,2,51.21896,6.767,38.0,0.1
440,2,51.21899,6.76712,38.0,0.15
441,2,51.21898,6.76726,38.0,0.21666666666666667
442,2,51.21894,6.76737,38.0,0.26666666666666666
443,2,51.21886,6.76741,38.0,0.31666666666666665
444,2,51.21879,6.76736,38.0,0.36666666666666664
445,2,51.21878,6.76733,38.0,0.38333333333333336
446,2,51.21878,6.76732,38.0,0.38333333333333336
447,2,51.21874,6.7672,38.0,0.45
448,2,51.21874,6.76718,38.0,0.45
449,2,51.21874,6.76708,38.0,0.5
450,2,51.2187607,6.76698777,38.0,0.5333333333333333
451,2,51.2187842,6.76691803,39.0,0.5666666666666667
452,2,51.2188178,6.76686438,39.0,0.6
453,2,51.2188816,6.766741,39.0,0.6666666666666666
454,2,51.21888,6.76674,39.0,0.6666666666666666
455,2,51.2188,6.76686,39.0,0.75
456,2,51.21882,6.76687,39.0,0.75
457,2,51.21884,6.76687,39.0,0.7666666666666667
458,2,51.21888,6.76688,39.0,0.8
459,2,51.21896,6.767,38.0,0.8666666666666667
460,2,51.21899,6.76712,38.0,0.9166666666666666
461,2,51.21898,6.76726,38.0,0.9833333333333333
462,2,51.21894,6.76737,38.0,1.0333333333333334
463,2,51.21886,6.76741,38.0,1.1
464,2,51.21879,6.76736,38.0,1.15
465,2,51.21874,6.7672,38.0,1.2166666666666668
466,2,51.21875,6.76702,38.0,1.3
467,2,51.21878,6.76693,39.0,1.3333333333333333
468,2,51.21886,6.76676,39.0,1.4333333333333333
469,2,51.21912,6.76631,37.0,1.6833333333333333
470,2,51.21925,6.76613,38.0,1.8
471,2,51.21949,6.76578,34.0,2.0166666666666666
472,2,51.21953,6.76574,33.0,2.05
473,2,51.22061,6.76445,28.0,2.95
474,2,51.22371,6.76072,28.0,5.533333333333333
475,2,51.22413,6.7603,28.0,5.866666666666667
476,2,51.22434,6.76013,28.0,6.016666666666667
477,2,51.22459,6.75997,28.0,6.2
478,2,51.22464,6.75995,28.0,6.233333333333333
479,2,51.22504,6.75979,28.0,6.516666666666667
480,2,51.22534,6.75972,28.0,6.716666666666667
481,2,51.22577,6.75969,29.0,7.0
482,2,51.22586,6.75968,29.0,7.066666666666666
483,2,51.226,6.75966,31.0,7.15
484,2,51.22613,6.75963,33.0,7.233333333333333
485,2,51.22624,6.75958,35.0,7.316666666666666
486,2,51.22625,6.75958,35.0,7.316666666666666
487,2,51.22626,6.75957,35.0,7.333333333333333
488,2,51.22633,6.75986,37.0,7.466666666666667
489,2,51.22633,6.75985,37.0,7.466666666666667
490,2,51.22633,6.75986,37.0,7.466666666666667
491,2,51.22642,6.76009,39.0,7.583333333333333
492,2,51.22648,6.7602,39.0,7.65
493,2,51.22663,6.76046,42.0,7.8
